"Date","Price","Open","High","Low","Change %"
"Jul 12, 2018","0.8567","0.8566","0.8585","0.8549","0.00%"
"Jul 11, 2018","0.8567","0.8516","0.8573","0.8505","0.61%"
"Jul 10, 2018","0.8515","0.8509","0.8555","0.8501","0.07%"
"Jul 09, 2018","0.8509","0.8515","0.8526","0.8481","-0.01%"
"Jul 08, 2018","0.8510","0.8515","0.8516","0.8507","-0.02%"
"Jul 06, 2018","0.8512","0.8555","0.8563","0.8498","-0.49%"
"Jul 05, 2018","0.8554","0.8579","0.8586","0.8531","-0.29%"
"Jul 04, 2018","0.8579","0.8579","0.8599","0.8560","0.00%"
"Jul 03, 2018","0.8579","0.8592","0.8607","0.8567","-0.14%"
"Jul 02, 2018","0.8591","0.8583","0.8628","0.8547","0.33%"
"Jul 01, 2018","0.8563","0.8569","0.8573","0.8555","0.06%"
"Jun 29, 2018","0.8558","0.8643","0.8652","0.8553","-0.98%"
"Jun 28, 2018","0.8643","0.8656","0.8677","0.8620","-0.15%"
"Jun 27, 2018","0.8656","0.8586","0.8667","0.8568","0.82%"
"Jun 26, 2018","0.8586","0.8545","0.8596","0.8532","0.48%"
"Jun 25, 2018","0.8545","0.8580","0.8600","0.8538","-0.33%"
"Jun 24, 2018","0.8574","0.8573","0.8576","0.8567","-0.06%"
"Jun 22, 2018","0.8579","0.8619","0.8622","0.8566","-0.46%"
"Jun 21, 2018","0.8619","0.8642","0.8690","0.8596","-0.25%"
"Jun 20, 2018","0.8641","0.8629","0.8669","0.8619","0.14%"
"Jun 19, 2018","0.8629","0.8606","0.8673","0.8588","0.30%"
"Jun 18, 2018","0.8603","0.8613","0.8647","0.8601","-0.26%"
"Jun 17, 2018","0.8625","0.8630","0.8630","0.8619","0.13%"
"Jun 15, 2018","0.8614","0.8644","0.8664","0.8600","-0.34%"
"Jun 14, 2018","0.8643","0.8481","0.8649","0.8438","1.91%"
"Jun 13, 2018","0.8481","0.8515","0.8528","0.8473","-0.40%"
"Jun 12, 2018","0.8515","0.8487","0.8524","0.8468","0.33%"
"Jun 11, 2018","0.8487","0.8500","0.8509","0.8459","0.02%"
